time,pelvis_list,pelvis_rotation,pelvis_tilt,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,pelvis_ty,lumbar_bending,lumbar_rotation,lumbar_extension
0,-0.47,2.43,-1.87,24.61,1.09,-0.023561925,-0.068765914,-0.029670572,-16.56,2.68,0.022340196,-0.143116878,0.171216655,0.96,0.47,-2.43,1.87
0.02,-0.87,2.56,-1.81,24.45,1.59,-0.006457713,-0.11623883,-0.056723153,-16.82,1.94,0.024609122,-0.197047506,0.144164074,0.96,0.87,-2.56,1.81
0.04,-1.4,2.52,-1.71,24.13,2.22,0.023736458,-0.164933475,-0.08168134,-16.53,0.99,0.020245802,-0.265115289,0.096342093,0.96,1.4,-2.52,1.71
0.06,-2.06,2.29,-1.59,23.68,3.01,0.052708899,-0.213977186,-0.088662651,-15.4,-0.19,0.007155844,-0.352032613,0.019373138,0.96,2.06,-2.29,1.59
0.08,-2.76,1.97,-1.47,22.96,3.92,0.069638578,-0.25761038,-0.072780168,-13.44,-1.48,-0.008377573,-0.454832419,-0.076096291,0.96,2.76,-1.97,1.47
0.1,-3.37,1.73,-1.39,21.78,4.78,0.073827365,-0.285710157,-0.043633194,-10.65,-2.69,-0.017278745,-0.570198585,-0.169820393,0.96,3.37,-1.73,1.39
0.12,-3.82,1.66,-1.38,20.24,5.45,0.072954701,-0.297403853,-0.014486221,-7.15,-3.62,-0.011519163,-0.6911498,-0.233350324,0.96,3.82,-1.66,1.38
0.14,-4.08,1.75,-1.43,18.41,5.85,0.066846054,-0.295483993,0.011344631,-3.16,-4.1,0.005410516,-0.805643302,-0.245567618,0.96,4.08,-1.75,1.43
0.16,-4.1,1.94,-1.52,16.38,6.01,0.056374087,-0.283441231,0.033510293,0.95,-4.16,0.019024073,-0.901985396,-0.220260366,0.96,4.1,-1.94,1.52
0.18,-3.89,2.12,-1.64,14.19,5.96,0.047472916,-0.264417158,0.052010768,4.93,-3.88,0.019024073,-0.971449441,-0.177325302,0.96,3.89,-2.12,1.64
0.2,-3.49,2.24,-1.75,11.91,5.8,0.041887867,-0.242076963,0.067718718,8.63,-3.38,0.005759582,-1.009323054,-0.132644911,0.96,3.49,-2.24,1.75
0.22,-2.96,2.29,-1.87,9.58,5.57,0.037350014,-0.217467841,0.080983209,11.96,-2.79,-0.012915426,-1.016653431,-0.092153307,0.96,2.96,-2.29,1.87
0.24,-2.37,2.25,-1.96,7.22,5.31,0.031939498,-0.191113392,0.091629708,14.96,-2.18,-0.029845105,-0.999723751,-0.055850489,0.96,2.37,-2.25,1.96
0.26,-1.78,2.13,-2.06,4.87,5.06,0.026179917,-0.164409877,0.100879946,17.62,-1.61,-0.043284129,-0.960977474,-0.023387392,0.96,1.78,-2.13,2.06
0.28,-1.25,1.95,-2.15,2.57,4.83,0.021118466,-0.138928091,0.109606584,19.89,-1.1,-0.054279694,-0.900240068,0.004014254,0.96,1.25,-1.95,2.15
0.3,-0.78,1.72,-2.26,0.33,4.64,0.016755147,-0.115017101,0.118333223,21.76,-0.66,-0.064577128,-0.820129523,0.02513272,0.96,0.78,-1.72,2.26
